title,address,link
City Center Alexandria,"Cairo Alex Desert Rd, Qetaa at Tarik as Sahrawi, Amreya 1, Alexandria Governorate 5258730",https://www.google.com/maps/place/City+Center+Alexandria/data=!4m7!3m6!1s0x14f5c26d673fdc49:0xd34e54a8f040c1af!8m2!3d31.1666175!4d29.933399!16s%2Fm%2F0_8pg_2!19sChIJSdw_Z23C9RQRr8FA8KhUTtM?authuser=0&hl=en&rclk=1
City Light Mall,"6XWV+G82, As Soyouf Qebli (Include Izbat Derbanah), Montaza 2, Alexandria Governorate 5515140",https://www.google.com/maps/place/City+Light+Mall/data=!4m7!3m6!1s0x14f5db4ccc47c8cb:0x15ec371841d5fa5c!8m2!3d31.2462661!4d29.9932702!16s%2Fg%2F11gxnshkzq!19sChIJy8hHzEzb9RQRXPrVQRg37BU?authuser=0&hl=en&rclk=1
Green Plaza Mall,مول، جرين بلازا,https://www.google.com/maps/place/Green+Plaza+Mall/data=!4m7!3m6!1s0x14f5c4b1d6effc7b:0x8352fda5b24b1d09!8m2!3d31.206654!4d29.9650632!16s%2Fg%2F1tftt9vv!19sChIJe_zv1rHE9RQRCR1LsqX9UoM?authuser=0&hl=en&rclk=1
سنتر أكاسيا,"6XRP+J5W, Waly String, Dana Al Gadidah WA Izbat Al Westaneyah, El Raml 2, Alexandria Governorate 5448622",https://www.google.com/maps/place/%D8%B3%D9%86%D8%AA%D8%B1+%D8%A3%D9%83%D8%A7%D8%B3%D9%8A%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x14f5db307954360d:0xe794b58554ee07b3!8m2!3d31.241606!4d29.9854589!16s%2Fg%2F11rt_f07_j!19sChIJDTZUeTDb9RQRswfuVIW1lOc?authuser=0&hl=en&rclk=1
مؤسسة عباد الرحمن ماجستيك,"16-14 Dr Rashad Shafeek, Dana Al Gadidah WA Izbat Al Westaneyah, El Raml 2, Alexandria Governorate 5448660",https://www.google.com/maps/place/%D9%85%D8%A4%D8%B3%D8%B3%D8%A9+%D8%B9%D8%A8%D8%A7%D8%AF+%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D9%86+%D9%85%D8%A7%D8%AC%D8%B3%D8%AA%D9%8A%D9%83%E2%80%AD/data=!4m7!3m6!1s0x14f5db422d5f1cad:0xdada545a785b3b8a!8m2!3d31.2396499!4d29.9896454!16s%2Fg%2F11r3zxcmkh!19sChIJrRxfLULb9RQRijtbeFpU2to?authuser=0&hl=en&rclk=1
Royal cafe,"72MF+25F, Al Amrawi, Qesm Al Montazah, Alexandria Governorate 5525120",https://www.google.com/maps/place/Royal+cafe/data=!4m7!3m6!1s0x14f5d08ae92ea8b5:0x3e95704a9678e8a5!8m2!3d31.2825603!4d30.02292!16s%2Fg%2F1tcy_kq2!19sChIJtagu6YrQ9RQRpeh4lkpwlT4?authuser=0&hl=en&rclk=1
Designia Mall,"5WFJ+C8P, Unnamed Road, Qetaa at Tarik as Sahrawi, Amreya 1, Alexandria Governorat",https://www.google.com/maps/place/Designia+Mall/data=!4m7!3m6!1s0x14f5c376ef653707:0xbc14cf1ce543fbf1!8m2!3d31.1735873!4d29.93084!16s%2Fg%2F11h_6x00k9!19sChIJBzdl73bD9RQR8ftD5RzPFLw?authuser=0&hl=en&rclk=1
فكهانى العمدة,"6XRP+8M4, Dana Al Gadidah WA Izbat Al Westaneyah, El Raml 2, Alexandria Governorate 5448641",https://www.google.com/maps/place/%D9%81%D9%83%D9%87%D8%A7%D9%86%D9%89+%D8%A7%D9%84%D8%B9%D9%85%D8%AF%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14f5dbe83d0e1563:0x25e5f4f4d5157b38!8m2!3d31.2407731!4d29.9867009!16s%2Fg%2F11mmdlh_37!19sChIJYxUOPejb9RQROHsV1fT05SU?authuser=0&hl=en&rclk=1
Deeb Mall,"1 Syria Street، Roushdy, 21311",https://www.google.com/maps/place/Deeb+Mall/data=!4m7!3m6!1s0x14f5c4c2965945db:0xddf2e629dcfb4d64!8m2!3d31.2280932!4d29.9516829!16s%2Fg%2F11c503pvbw!19sChIJ20VZlsLE9RQRZE373Cnm8t0?authuser=0&hl=en&rclk=1
الصفوة رسيڤر دش,"7X2J+2PC, Unnamed Road, As Soyouf Qebli (Include Izbat Derbanah), Montaza 2, Alexandria Governorat",https://www.google.com/maps/place/%D8%A7%D9%84%D8%B5%D9%81%D9%88%D8%A9+%D8%B1%D8%B3%D9%8A%DA%A4%D8%B1+%D8%AF%D8%B4%E2%80%AD/data=!4m7!3m6!1s0x14f5db3acdac1d25:0x9df1d1472dd8d3!8m2!3d31.2500563!4d29.9817528!16s%2Fg%2F11j_pjvvn1!19sChIJJR2szTrb9RQR09gtR9HxnQA?authuser=0&hl=en&rclk=1
Elmoltaka Mall,"6W9V+PP7, Izbat Saed, Qesm Sidi Gaber, Alexandria Governorate 5432069",https://www.google.com/maps/place/Elmoltaka+Mall/data=!4m7!3m6!1s0x14f5c4936be5692b:0xc1c140fdeead11d8!8m2!3d31.2192762!4d29.944282!16s%2Fg%2F1tkfwy2j!19sChIJK2nla5PE9RQR2BGt7v1AwcE?authuser=0&hl=en&rclk=1
